Key,Source,Context,Changes,English,French,German,Klingon,Spanish
q0_________________,,Popup Tip,KgNone,,,,,
q1_________________,,Popup Tip,KgNone,"      MUST BE PUT AT THE VERY FRONT !!!!      ",,,,
q2_________________,,Popup Tip,KgNone,,,,,
tutorialTipQuest01,,Popup Tip,KgNone,"A Rude Awakening\n\nGood Morning,\n\nIf you are reading this note, then you are up and on your feet. That's good. Many others were not so lucky.\nThe pain in your head and the memory loss are the effects of the therapy you received in stasis and should wear off quickly.\nI apologize for not meeting with all of you to explain in person, as my news may come as a shock....\n\nIt was just over two years ago that the first news reports of a deadly flu like virus sweeping like fire through parts of Asia and South America began appearing. Strange stories began to circulate of clinically deceased victims opening their eyes and attacking those around them, some times as soon as 60 minutes after death. To make matters worse, not only were those bitten or exposed to body fluids likewise infected, the disease then jumped to several wild and domestic animal species. Within 5 months, The National Dept for Disease Control identified the virus as Cerebral Hemorrhagic Reactive Immuno Virus (CHRI), or as it later became known... Brainpox.\n\nBefore the loss of global communication, the international science community was able to identify a natural antibody occurring in a tiny fraction of almost all world populations. With little time left, many of the world's governments turned to DNA samples from their elite national armies, Intel/security forces, along with doctors, chemists and engineers. And a new Scientific Organisation was formed out of the best of these people, HYPERION. Its from this DNA pool that you were chosen. Now, this all explains why I'm here, but I would guess you are wondering how you fit into all of this.\n\nOnce identified as an antibody carrier, Agents, as they became known, were put into stasis and given near superhuman conditioning. You, and agents in the camp you are currently in, came from the last 5 remaining Agent stasis centers still in communication before all lines went silent. We have no reason to believe they are still alive.\nCurrent verified Intel indicates that our last operating research facility claimed to be close to a full vaccine! Hyperion Research IV has its test facility in this valley.\n\nGet yourself squared away, get your gear in order, and find those scientists like the world depends on it. Because It does!\n\nHYPERION HQ Out.",,,,
tutorialTipQuest01w,,Popup Tip,KgNone,"A Rude Awakening\n\nGood Morning,\n\nIf you are reading this note, then you are up and on your feet. That's good. Many others were not so lucky.\nThe pain in your head and the memory loss are the effects of the therapy you received in stasis and should wear off quickly.\nI apologize for not meeting with all of you to explain in person, as my news may come as a shock....\n\nIt was just over two years ago that the first news reports of a deadly flu like virus sweeping like fire through parts of Asia and South America began appearing. Strange stories began to circulate of clinically deceased victims opening their eyes and attacking those around them, some times as soon as 60 minutes after death. To make matters worse, not only were those bitten or exposed to body fluids likewise infected, the disease then jumped to several wild and domestic animal species. Within 5 months, The National Dept for Disease Control identified the virus as Cerebral Hemorrhagic Reactive Immuno Virus (CHRI), or as it later became known... Brainpox.\n\nBefore the loss of global communication, the international science community was able to identify a natural antibody occurring in a tiny fraction of almost all world populations. With little time left, many of the world's governments turned to DNA samples from their elite national armies, Intel/security forces, along with doctors, chemists and engineers. And a new Scientific Organisation was formed out of the best of these people, HYPERION. Its from this DNA pool that you were chosen. Now, this all explains why I'm here, but I would guess you are wondering how you fit into all of this.\n\nOnce identified as an antibody carrier, Agents, as they became known, were put into stasis and given near superhuman conditioning. You, and agents in the camp you are currently in, came from the last 5 remaining Agent stasis centers still in communication before all lines went silent. We have no reason to believe they are still alive.\nCurrent verified Intel indicates that our last operating research facility claimed to be close to a full vaccine! Hyperion Research IV has its test facility in this valley.\n\nGet yourself squared away, get your gear in order, and find those scientists like the world depends on it. Because It does!\n\nHYPERION HQ Out.",,,,
tutorialTipQuest01_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,"Welcome back AGENT!",,,,
tutorialTipQuest01w_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,"Welcome back AGENT!",,,,
quest_BasicSurvival1,,Quest Info,Reordered,"Getting Started!",,,,
quest_WhiteRiverCitizen,,Quest Info,KgNone,White River Citizen,Citoyen de la Rivière blanche,Bürger von White River,,Ciudadano de Río Blanco
quest_WhiteRiverCitizen1,,Quest Info,KgNone,White River Citizen,Citoyen de la Rivière blanche,Bürger von White River,,Ciudadano de Río Blanco
