Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
r,items,Gun,KgNone,_,,,,,
s,items,Gun,KgNone,_________________PLACE__AT__THE__BEGINNING__OF__FILE__AFTER__Key_Source_Context__OR__OTHER__MODS_____________________,,,,,
t,items,Gun,KgNone,_,,,,,
manux_vehicleHP4x4TruckPlaceable,vehicles,item,EnChanged,Manux's High-Power 4x4 Truck,,,,,
manux_vehicleHP4x4Truck,vehicles,vehicle,EnChanged,Manux's High-Power 4x4 Truck,,,,,
manux_vehicleHP4x4TruckDesc,vehicles,vehicle,EnChanged,"A faster, more powerful 4x4",,,,,
manux_vehicleQuadPlaceable,vehicles,item,EnChanged,Manux's Quad,,,,,
manux_vehicleQuad,vehicles,vehicle,EnChanged,Manux's Quad,,,,,
manux_vehicleQuadDesc,vehicles,vehicle,EnChanged,What would be the Apocalypse without a Quad.,,,,,
manux_bigEngine,items,Part,EnChanged,High-Power Engine,,,,,
manux_bigEngineDesc,items,Part,EnChanged,"A bigger, more powerful engine for your special vehicles.",,,,,
manux_vehicleHellGoatBikePlaceable,vehicles,item,EnChanged,Manux's HellGoat Bike,,,,,
manux_vehicleHellGoatBike,vehicles,vehicle,EnChanged,Manux's HellGoat Bike,,,,,
manux_vehicleHellGoatBikeDesc,vehicles,vehicle,EnChanged,"The fastest and most agile vehicle. Perfect to cover long distances quicker, or have fun in the mountains.",,,,,
manux_vehicleRoadHogPlaceable,vehicles,item,EnChanged,Dust2Death's RoadHog,,,,,
manux_vehicleRoadHog,vehicles,vehicle,EnChanged,Dust2Death's RoadHog,,,,,
manux_vehicleRoadHogDesc,vehicles,vehicle,EnChanged,A faster version of the MotorCycle.,,,,,
manux_vehicleCarChassis,items,Part,EnChanged,Car Chassis,,,,,
manux_vehicleCarChassisDesc,items,Part,EnChanged,Chassis needed to craft Cars.,,,,,
manux_vehicleCarAccessories,items,Part,EnChanged,Car Accessories,,,,,
manux_vehicleCarAccessoriesDesc,items,Part,EnChanged,Accessories needed to craft Cars.,,,,,
manux_vehicleCicadaCarPlaceable,vehicles,item,EnChanged,Manux's Cicada Car,,,,,
manux_vehicleCicadaCar,vehicles,vehicle,EnChanged,Manux's Cicada Car,,,,,
manux_vehicleCicadaCarDesc,vehicles,vehicle,EnChanged,"Not the fastest vehicle, but it has a lot of Storage.",,,,,
manux_vehicleBigWheels,items,Part,EnChanged,Vehicle Big Wheels,,,,,
manux_vehicleBigWheelsDesc,items,Part,EnChanged,Big Wheels for your bigger vehicles.,,,,,
manux_vehicleMonsterBeetle,vehicles,vehicle,EnChanged,Manux's Monster Beetle,,,,,
manux_vehicleMonsterBeetlePlaceable,vehicles,vehicle,EnChanged,Manux's Monster Beetle,,,,,
manux_vehicleMonsterBeetleDesc,vehicles,vehicle,EnChanged,"Big, Fast, Strong, and Deadly. It even hops. A King's Ride!",,,,,
manux_vehicleHelicopterChassis,items,Part,EnChanged,Helicopter Chassis,,,,,
manux_vehicleHelicopterChassisDesc,items,Part,EnChanged,Chassis for Helicopters.,,,,,
manux_vehicleHelicopterRotor,items,Part,EnChanged,Helicopter Rotor,,,,,
manux_vehicleHelicopterRotorDesc,items,Part,EnChanged,Main Rotor of Helicopters.,,,,,
manux_vehicleHelicopterOH58,vehicles,vehicle,EnChanged,Manux's Helicopter OH-58,,,,,
manux_vehicleHelicopterOH58Placeable,vehicles,vehicle,EnChanged,Manux's Helicopter OH-58,,,,,
manux_vehicleHelicopterOH58Desc,vehicles,vehicle,EnChanged,"A fast and more stable flying ride, that can sit multiple persons.",,,,,
manux_vehicleJetPack,vehicles,vehicle,EnChanged,Manux's Jet Pack,,,,,
manux_vehicleJetPackPlaceable,vehicles,vehicle,EnChanged,Manux's Jet Pack,,,,,
manux_vehicleJetPackDesc,vehicles,vehicle,EnChanged,"A MacGyver-style dream ride!",,,,,
manux_vehiclePedalGyro,vehicles,vehicle,EnChanged,Manux's Pedal Gyro,,,,,
manux_vehiclePedalGyroPlaceable,vehicles,vehicle,EnChanged,Manux's Pedal Gyro,,,,,
manux_vehiclePedalGyroDesc,vehicles,vehicle,EnChanged,"A human-powered Gyrocopter.",,,,,
manux_vehicleMonoHog,vehicles,vehicle,EnChanged,Manux's Mono-Hog,,,,,
manux_vehicleMonoHogPlaceable,vehicles,vehicle,EnChanged,Manux's Mono-Hog,,,,,
manux_vehicleMonoHogDesc,vehicles,vehicle,EnChanged,"A Monocycle Hog. Original, Fast, strong, agile, and a hopper.",,,,,
HDHQ44MagnumArmorJungle,items,Gun,KgNone,JACOBS .44 Magnum,,,,,
HDHQ44MagnumArmorJungleDesc,items,Gun,KgNone,"The .44 Magnum is the king of handguns. It's the most powerful but makes the most noise. Wield this bad boy and make Clint proud.\nRepair with Repair Kits.\n\nJACOBS Variants are more powerful, but have a higher Recoil.\nBonus: Headshot-Perk +2",,,,,
HDHQAK47ArmorJungle,items,Gun,KgNone,JACOBS AK-47 Assault Rifle,,,,,
HDHQAK47ArmorJungleDesc,items,Gun,KgNone,"This badass AK-47 Assault Rifle uses 7.62mm ammo.\nRepair with Repair Kits.\n\nJACOBS Variants are more powerful, but have a higher Recoil.\nBonus: Headshot-Perk +2",,,,,
HDHQHuntingRifleArmorJungle,items,Gun,KgNone,JACOBS Hunting Rifle,,,,,
HDHQHuntingRifleArmorJungleDesc,items,Gun,EnChanged,"This common farmer's hunting rifle uses 7.62mm ammo.\nRepair with Repair Kits.\n\nJACOBS Variants are more powerful, but have a higher Recoil.\nBonus: Headshot-Perk +2",,,,,
HDHQMR10ArmorJungle,items,Gun,KgNone,JACOBS Marksman Rifle,,,,,
HDHQMR10ArmorJungleDesc,items,Gun,New,"This marksman's rifle uses 7.62mm ammo and is your first choice if you want to make that shot count.\nRepair with Repair Kits.\n\nJACOBS Variants are more powerful, but have a higher Recoil.\nBonus: Headshot-Perk +2",,,,,
HDHQPistolArmorJungle,items,Gun,KgNone,JACOBS Pistol,,,,,
HDHQPistolArmorJungleDesc,items,Gun,EnChanged,"A basic Pistol that uses 9mm ammo.\nRepair with Repair Kits.\n\nJACOBS Variants are more powerful, but have a higher Recoil.\nBonus: Headshot-Perk +2",,,,,
